RECTIME,RANGVX,RANGX
2.21,-2.6855,-0.1373
2.22,-0.9765,-0.1812
2.23,1.5259,-0.2032
2.24,3.479,-0.1922
2.25,5.0049,-0.1648
2.26,6.1035,-0.1208
2.27,6.836,-0.0659
2.28,7.6294,0
2.29,8.1787,0.066
2.3,8.7281,0.1429
2.31,9.7046,0.2198
2.32,10.0708,0.3132
2.33,10.0708,0.3955
2.34,9.3994,0.4725
2.35,8.7281,0.5219
2.36,7.7515,0.5713
2.37,6.836,0.6098
2.38,6.3477,0.6537
2.39,6.4087,0.6922
2.4,6.3477,0.7306
2.41,6.1646,0.7581
2.42,6.1035,0.7801
2.43,5.7984,0.802
2.44,5.3101,0.813
2.45,4.8218,0.8185
2.46,3.9673,0.824
2.47,3.1739,0.813
2.48,2.3804,0.7965
2.49,1.5259,0.7636
2.5,0.3662,0.7251
2.51,-1.1596,0.6812
2.52,-2.9907,0.6153
2.53,-5.0659,0.5384
2.54,-7.08,0.434
2.55,-8.9111,0.3186
2.56,-10.8642,0.1923
2.57,-12.6342,0.0495
2.58,-14.4653,-0.1043
2.59,-16.2964,-0.2746
2.6,-18.1884,-0.4559
2.61,-20.3247,-0.6482
2.62,-21.9116,-0.8569
2.63,-22.8882,-1.0821
2.64,-22.8882,-1.3183
2.65,-21.6675,-1.5545
2.66,-19.5312,-1.7907
2.67,-16.6626,-2.0214
2.68,-13.4887,-2.2302
2.69,-10.7422,-2.4224
2.7,-8.789,-2.5927
2.71,-8.1787,-2.7575
2.72,-8.3618,-2.9333
2.73,-9.5215,-3.1146
2.74,-11.4135,-3.3123
2.75,-14.7705,-3.5266
2.76,-19.104,-3.7738
2.77,-23.7426,-4.0539
2.78,-28.8086,-4.3725
2.79,-34.3628,-4.7186
2.8,-40.4663,-5.1086
2.81,-46.6919,-5.5426
2.82,-51.9409,-6.015
2.83,-55.603,-6.5313
2.84,-57.9834,-7.0752
2.85,-58.7768,-7.63
2.86,-58.7768,-8.1848
2.87,-57.9834,-8.7231
2.88,-56.8237,-9.2504
2.89,-55.0537,-9.7668
2.9,-52.7954,-10.2722
2.91,-50.9033,-10.7611
2.92,-49.4384,-11.2445
2.93,-48.2788,-11.7114
2.94,-47.4853,-12.1618
2.95,-46.2036,-12.6013
2.96,-44.3115,-13.0243
2.97,-41.9922,-13.4417
2.98,-39.917,-13.8372
2.99,-38.6963,-14.2327
3,-37.6587,-14.6173
3.01,-36.7431,-14.9908
3.02,-36.0107,-15.3588
3.03,-35.2173,-15.7049
3.04,-34.79,-16.0345
3.05,-34.6069,-16.3531
3.06,-33.9966,-16.6662
3.07,-32.959,-16.9848
3.08,-32.1655,-17.2979
3.09,-31.6162,-17.6056
3.1,-31.4331,-17.8967
3.11,-31.0669,-18.1933
3.12,-29.9072,-18.4954
3.13,-28.1372,-18.7866
3.14,-26.0009,-19.0667
3.15,-23.6816,-19.3304
3.16,-22.5219,-19.5666
3.17,-22.5219,-19.7808
3.18,-23.4375,-20.0006
3.19,-25.4516,-20.2368
3.2,-28.5034,-20.5004
3.21,-31.7993,-20.8081
3.22,-35.4004,-21.1431
